hist_mean,hist_std,hist_median,hist_max,hist_min,mean_intensity,std_intensity,median_intensity,min_intensity,max_intensity,variance,gradient_mean,gradient_std,width,height,aspect_ratio,image_path,class
196.0,938.66736,69.5,12032.0,0.0,31.331433354591837,43.15736230798859,4.0,0,246,1862.5579213829944,47.24623095803818,88.6852885821401,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0000.jpg,glioma
196.0,856.5717,45.0,11283.0,0.0,37.785435267857146,43.34080919078986,5.0,0,242,1878.425741312455,45.1880213722523,85.2817817424387,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0001.jpg,glioma
196.0,829.0739,32.0,11034.0,0.0,35.97710060586735,40.67385178172681,7.0,0,240,1654.362218761881,47.07832028625875,89.2546614684402,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0002.jpg,glioma
196.0,857.3427,11.0,11212.0,0.0,24.847815688775512,27.66032734003461,12.0,0,239,765.0937085578661,37.159590431481,71.48342689371913,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0003.jpg,glioma
196.0,770.2613,16.0,11094.0,0.0,32.01347257653061,33.27792748713735,24.0,0,244,1107.4204578391714,43.17594736953888,75.8538394777299,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0004.jpg,glioma
196.0,820.5736,29.0,11411.0,0.0,30.039799904336736,33.2641868804632,11.0,0,225,1106.5061288183801,42.251226582177615,73.42420518133424,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0005.jpg,glioma
196.0,816.6872,5.5,11420.0,0.0,23.609574298469386,23.79648527128497,23.0,0,241,566.2727112664824,35.253486710676775,62.051079322992436,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0006.jpg,glioma
196.0,784.4331,49.5,11444.0,0.0,43.1005859375,42.88961505650223,41.0,0,243,1839.5190796949425,54.598581750965245,96.44201157125828,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0007.jpg,glioma
196.0,818.60345,21.5,11602.0,0.0,31.875577965561224,32.97489038512748,28.0,0,207,1087.3433959111728,42.89956965268277,74.70738310706953,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0008.jpg,glioma
196.0,892.85443,53.5,11565.0,0.0,32.524055325255105,38.74644614351155,5.0,0,239,1501.287088752041,45.62317588036882,86.11661617549485,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-glTr_0009.jpg,glioma
196.0,807.0133,40.0,11040.0,0.0,31.87533880739796,36.72710235124664,14.0,0,249,1348.8800471189468,45.87231829695795,83.4688617749239,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-gl_0010.jpg,glioma
196.0,858.1368,51.5,11570.0,0.0,32.969945790816325,37.62854951132375,16.0,0,231,1415.9077383261429,50.81295702326997,87.08990376962383,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-gl_0011.jpg,glioma
196.0,844.36053,21.0,11291.0,0.0,30.110889668367346,32.62443157745216,23.0,0,248,1064.3535357518574,44.055336950296464,78.23133461347203,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-gl_0012.jpg,glioma
196.0,778.1216,39.5,11284.0,0.0,32.209881218112244,38.11463212700052,14.0,0,246,1452.72518217658,49.56757871972791,88.34834948847696,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-gl_0013.jpg,glioma
196.0,762.34875,36.0,11263.0,0.0,37.67867107780612,38.96450570908873,33.0,0,239,1518.2327051536085,55.37698825286893,96.27489978002502,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-gl_0014.jpg,glioma
196.0,754.2126,27.5,11323.0,0.0,37.20595503826531,38.11176158074459,34.0,0,235,1452.5063707875195,48.619845892607216,92.83727388003196,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-gl_0015.jpg,glioma
196.0,789.6783,47.0,10524.0,0.0,33.48724489795919,40.74957788530246,7.0,0,236,1660.5280978303313,50.31885493736402,89.78384794861982,224,224,1.0,c:\Users\LENOVO\Desktop\Summative-MLOP-Classification-Pipeline\data\train\glioma\Tr-gl_0016.jpg,glioma
